timestamp,Vol1Ex1,Vol1Ex2,Vol1Ex3,Vol1Ex4,Vol1Ex5,Vol2Ex1,Vol2Ex2,Vol2Ex3,Vol2Ex4,Vol2Ex5,Vol3Ex1,Vol3Ex2,Vol3Ex3,Vol3Ex4,Vol3Ex5,Vol4Ex1,Vol4Ex2,Vol4Ex3,Vol4Ex4,Vol4Ex5,Vol5Ex1,Vol5Ex2,Vol5Ex3,Vol5Ex4,Vol5Ex5,Vol6Ex1,Vol6Ex2,Vol6Ex3,Vol6Ex4,Vol6Ex5,Vol7Ex1,Vol7Ex2,Vol7Ex3,Vol7Ex4,Vol7Ex5
1.6032,86.08443,77.31474,77.55861,88.96655,93.62106,143.2819,139.276,145.7816,146.1789,141.5401,226.6159,225.9128,231.4623,226.0132,229.2561,77.31474,77.55861,88.96655,93.62106,86.08443,139.276,143.2819,145.7816,146.1789,141.5401,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.6366,86.08443,77.31474,77.99669,88.96655,87.81995,144.5698,139.276,145.7816,146.1789,141.5401,226.6159,225.9128,231.4623,225.9491,229.2561,77.31474,77.99669,88.96655,87.81995,86.08443,139.276,144.5698,145.7816,146.1789,141.5401,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.67,85.91165,77.9865,77.99669,89.33052,87.81995,144.5698,139.4825,145.7816,146.1789,141.5401,226.3677,225.9128,231.4623,225.9491,229.2561,77.9865,77.99669,89.33052,87.81995,85.91165,139.4825,144.5698,145.7816,146.1789,141.5401,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.7034,85.91165,77.9865,77.22032,89.33052,87.81995,144.5698,139.1774,146.1022,146.8927,141.108,226.3677,225.5905,230.1027,225.9491,229.2645,77.9865,77.22032,89.33052,87.81995,85.91165,139.1774,144.5698,146.1022,146.8927,141.108,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.7368,85.91165,77.9865,77.22032,89.33052,77.39478,144.8585,139.1774,146.1022,146.8927,141.3759,226.3677,225.5905,230.1027,225.8997,229.2645,77.9865,77.22032,89.33052,77.39478,85.91165,139.1774,144.8585,146.1022,146.8927,141.3759,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.7702,85.9475,77.39568,77.22032,88.51302,77.39478,144.8585,139.1774,146.1022,146.8927,141.3759,226.2772,225.5905,230.1027,225.7541,229.2645,77.39568,77.22032,88.51302,77.39478,85.9475,139.1774,144.8585,146.1022,146.8927,141.3759,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.8035999999999999,85.9475,77.39568,77.04536,88.51302,77.39478,144.8585,139.1402,146.6974,147.7258,141.3759,226.2772,225.4583,230.2134,225.7541,229.5341,77.39568,77.04536,88.51302,77.39478,85.9475,139.1402,144.8585,146.6974,147.7258,141.3759,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.837,85.9475,77.39568,77.04536,88.51302,68.9474,144.7759,139.1402,146.6974,147.7258,142.0164,226.8513,225.4583,230.2134,225.7541,229.5341,77.39568,77.04536,88.51302,68.9474,85.9475,139.1402,144.7759,146.6974,147.7258,142.0164,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.8704,86.81745,77.96575,77.04536,87.8961,68.9474,144.7759,139.0244,146.8565,147.7258,142.0164,226.8513,225.4583,230.2134,225.7541,229.5341,77.96575,77.04536,87.8961,68.9474,86.81745,139.0244,144.7759,146.8565,147.7258,142.0164,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
1.9038,86.81745,77.96575,77.04536,87.8961,68.9474,144.7759,139.0244,146.8565,147.9777,142.0164,226.8513,225.5674,230.0681,225.2507,229.4899,77.96575,77.04536,87.8961,68.9474,86.81745,139.0244,144.7759,146.8565,147.9777,142.0164,192.1117,172.0753,172.844,204.8451,183.6319,219.5107,219.5107,219.5107,219.5107,219.5107
